xmin,ymin,xmax,ymax,text
1160,1059,1295,1087,containing
162,1094,314,1115,bookmarks.
327,1094,382,1115,This
394,1094,541,1115,screenshot
552,1094,576,1115,of
585,1094,625,1115,the
637,1094,732,1121,sample
744,1095,826,1121,output
837,1094,920,1115,shows
932,1100,945,1115,a
959,1094,1015,1115,PDF
1026,1094,1063,1115,file
1074,1094,1125,1115,with
1136,1090,1278,1121,bookmarks
198,1148,277,1165,Acrobat
287,1149,359,1164,Reader
369,1158,373,1159,-
375,1146,533,1171,[ap_bookmark.
535,1147,577,1170,pdf]
210,1183,237,1199,File
261,1183,292,1199,Edit
316,1183,403,1199,Document
425,1183,467,1199,View
489,1183,559,1199,Window
583,1183,621,1203,Help
341,1218,522,1254,T
553,1221,585,1254,K
170,1221,239,1248,FATC
183,1274,286,1287,Bookmarks
312,1274,401,1290,Thumbnails
172,1301,189,1324,E
238,1303,321,1319,Invoices
329,1303,352,1323,by
358,1303,403,1319,Date
266,1336,374,1356,|2000-01-1
276,1369,375,1385,2000-01-2
275,1402,376,1417,2000-01-3
276,1434,376,1451,2000-01-4
276,1467,376,1484,2000-01-5
640,1473,711,1491,Date
887,1473,1049,1491,2000-01-1
276,1500,376,1516,2000-01-6
276,1533,375,1549,2000-01-7
640,1545,843,1572,Description
886,1545,1089,1572,Description
1111,1545,1162,1566,for
1185,1545,1256,1566,item
1277,1546,1291,1568,#
1315,1547,1328,1565,1
276,1564,376,1583,2000-01-8
640,1622,711,1647,Туре
886,1622,975,1640,ТҮРE1
638,1697,747,1715,Amount
982,1697,1069,1715,11.00
161,1796,211,1817,The
223,1796,261,1817,left
273,1802,337,1823,pane
348,1796,455,1823,displays
467,1796,506,1817,the
518,1796,635,1817,available
648,1796,793,1817,bookmarks
804,1796,839,1817,for
848,1796,893,1817,this
907,1796,970,1817,PDF.
983,1796,1034,1817,You
1047,1802,1102,1823,may
1113,1796,1176,1817,need
1189,1797,1212,1817,to
1223,1796,1311,1817,enable
1323,1796,1363,1817,the
161,1831,254,1859,display
264,1831,289,1852,of
300,1831,445,1852,bookmarks
458,1831,477,1852,in
488,1831,594,1852,Adobe®
604,1831,728,1852,Acrobato
740,1831,837,1852,Reader
849,1831,878,1859,by
889,1831,985,1859,clicking
996,1831,1112,1852,Window
1123,1834,1138,1849,>
1149,1831,1228,1852,Show
1240,1831,1409,1852,Bookmarks.
162,1867,283,1894,Selecting
296,1873,309,1888,a
321,1867,377,1888,date
388,1867,446,1888,from
458,1867,498,1888,the
510,1867,548,1888,left
560,1873,623,1894,pane
635,1867,742,1894,displays
754,1867,793,1888,the
805,1867,994,1894,corresponding
1008,1873,1072,1894,page
1083,1867,1157,1888,within
1169,1867,1209,1888,the
1221,1867,1359,1888,document.
162,1918,223,1939,Note
234,1918,283,1939,that
293,1918,333,1939,the
346,1918,415,1939,index
427,1918,472,1939,has
485,1918,548,1939,been
560,1918,641,1939,sorted
654,1918,782,1945,according
794,1919,817,1939,to
828,1918,868,1939,the
879,1918,1044,1945,specification
1057,1918,1076,1939,in
1088,1918,1128,1939,the
1140,1918,1271,1939,bookmark
1281,1918,1325,1943,file,
1338,1918,1385,1939,and
1397,1918,1446,1939,that
162,1960,241,1982,pages
252,1954,327,1975,within
339,1954,379,1975,the
389,1954,427,1975,file
439,1960,479,1975,are
491,1954,589,1975,created
601,1954,730,1982,according
741,1955,765,1975,to
775,1954,816,1975,the
827,1954,922,1982,original
934,1954,1004,1975,order
1015,1954,1034,1975,in
1046,1954,1086,1975,the
1097,1954,1154,1975,data
1164,1954,1208,1975,file.
162,2046,208,2065,PDF
219,2046,328,2065,Bookmark
338,2046,420,2069,Sample
1323,2047,1379,2068,Page
1390,2047,1396,2064,1
1408,2047,1429,2063,of
1436,2047,1447,2065,4
